File Name,Artist,Title,Earliest Date,Latest Date,Photo Archive,Image Credits,Details URL
2f3951aa-bbde-4e10-bbf8-0fcb2c0ed08a.jpg,Jan Asselijn,De bedreigde zwaan,1650,1650,Rijksmuseum,https://lh3.googleusercontent.com/tm1DbZrAP0uBM-OJhLwvKir1Le5LglRF_bvbaNi6m-F_pIyttsWQz040soRY9pWA9PgNEYFA_fBkg_keYixRXCAjz9Q=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-4
93b43a4a-dadc-4cd9-b368-c0a579e06eff.jpg,Johannes Cornelisz. Verspronck,Portret van een meisje in het blauw,1641,1641,Rijksmuseum,https://lh3.googleusercontent.com/XOEEpiJxvnbvetJvG7wbpPL9trO3nAAJuPztTOFxS2jtpHgqIkRGFfFJgkkS00bLCs6Ezkg0qRMOMZUMnBP3mbmQ-rJh_gFiffSIhyWX=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-3064
4d2a72e4-eb25-461c-86ae-889bc3c0699c.jpg,Johannes Vermeer,Brieflezende vrouw,1663,1663,Rijksmuseum,https://lh3.googleusercontent.com/cgJpNZ47yAU-Ttf6SF4vdBBxAiiZW_w_-DsA1Xchet3eDJN-8EyoA24xgNR9Wl1fTLwGAhENkTkMZu1qULcXOQdgF2K1qDbdWSwic1POVg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-251
bbb79014-8ebd-4922-ad48-fd4ee8c61bd2.jpg,Jacob Isaacksz van Ruisdael,De molen bij Wijk bij Duurstede,1668,1670,Rijksmuseum,https://lh3.googleusercontent.com/3EDrQy1jW6akN2k8eAeCECHJ1FmvM1f2pb9a-de51ErcQcghh7cbpzFIh-QYdcGfpi3FjxH1AP6C_FvPNR-I9n8I4No=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-211
2fe159d5-619a-46d3-b3d2-9412e6f6bdd8.jpg,Rembrandt van Rijn,"Isaak en Rebekka, bekend als ‘Het Joodse bruidje’",1665,1669,Rijksmuseum,https://lh3.googleusercontent.com/mAyAjvYjIeAIlByhJx1Huctgeb58y7519XYP38oL1FXarhVlcXW7kxuwayOCFdnwtOp6B6F0HJmmws-Ceo5b_pNSSQs=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-216
2c1ac367-9b11-4266-bb08-eea14ca0bb76.jpg,Rembrandt van Rijn,"De waardijns van het Amsterdamse lakenbereidersgilde, bekend als ‘De Staalmeesters’",1662,1662,Rijksmuseum,https://lh3.googleusercontent.com/gShVRyvLLbwVB8jeIPghCXgr96wxTHaM4zqfmxIWRsUpMhMn38PwuUU13o1mXQzLMt5HFqX761u8Tgo4L_JG1XLATvw=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-6
58f00619-2e35-4d7d-a46d-0dcc6618f4ec.jpg,Rembrandt van Rijn,Zelfportret als de apostel Paulus,1661,1661,Rijksmuseum,https://lh3.googleusercontent.com/NrCcfeY0r2F3M2hIQe5SLDRofR2tVzeOH18VjflOYGj88v4clb4v2H_VgCZR4nJhYsxxH9ATzfkL2tRqOWEK5-gPVEE=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-4050
958cbf50-5232-4378-a410-7d9573dfb718.jpg,Willem Claesz. Heda,Stilleven met vergulde bokaal,1635,1635,Rijksmuseum,https://lh3.googleusercontent.com/mZj-trnVh6jeUDsl1o0a3xNXPat_UOZtKecS4LaZdTLcNoIqtd_yf6beJKCUVzk3NT5SSFeQ-hOzJEOOSV9sg8dHE6VjFjUrGfxwe5Sg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-4830
f490d22f-7110-435f-bce1-fc257b677814.jpg,Aelbert Cuyp,Rivierlandschap met ruiters,1653,1657,Rijksmuseum,https://lh3.googleusercontent.com/X7_CHCjksOZYu4gIGa45Edj1tMymdiz2o3pbL6HqqVEszWvPzrM6iIwHzaWNqgsWLcm7VmHCQyuQowWSSImQYLF8qW48zmZ-rx309F3c=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-4118
8b800a76-4ea3-46cb-bcaa-a3ed2635e966.jpg,Floris Claesz. van Dijck,Stilleven met kazen,1615,1615,Rijksmuseum,https://lh3.googleusercontent.com/O6IfrxhVOGXdcw9-nOkenQqx3svNJtgJFjF_tON1HG_ASu1Uy6IAwOzH7MIOJ3jVBnAZhqyTlw0N1CIILKjtuv0aLLGwvZH3XbSD9pk4=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-4821
