id	year	author	title	link	subject	source
nn_nrhz172b_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz172b_1848	Zeitung	Neue Rheinische Zeitung. Nr. 172. Köln, 19. Dezember 1848. Beilage.
dach_einfaeltig_1653.txt	1653	Dach, Simon	Einfältige Leich-Reime – Der weiland Ehr vnd Tugendreichen Frawen\r\nCatharinen Pohlinn (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/dach_einfaeltig_1653	Gebrauchsliteratur: Gelegenheitsschrift:Tod; Lyrik	Dach, Simon: Einfältige Leich-Reime. Königsberg, 1653. [Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, Berlin SBB-PK, 88 in: Yi 851-2]
vertrag_westfaelischer_1648.txt	1649		Friedens-Schluß / So von der Römischen Käyserlichen / Vnd  Aller-Christl. Königl. Mayst. Mayst. Als auch Deß Heyl. Römischen Reichs Extraordinari-Deputirten, vnd anderer Chur:Fürsten vnd Ständ Gevollmächtigten vnd Hochansehenlichen Herren Abgesandten zu Münster in Westphalen / am 24/14. Octobris Im Jahr 1648. in offentlicher Versamblung vnderschrieben vnd bekräfftiget / auch den 25/15. eiusdem solenniter publicirt worden / etc. – Auß dem wahren Original, wie es bey dem Chur-Mäyntzis. Reichs-Directorio deponirt worden / in Teutsche versetzt (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/vertrag_westfaelischer_1648	Gebrauchsliteratur: Politik	Friedens-Schluß / So von der Römischen Käyserlichen / Vnd  Aller-Christl. Königl. Mayst. [...] in Westphalen / am 24/14. Octobris Im Jahr 1648. in offentlicher Versamblung vnderschrieben vnd bekräfftiget. Franckfurt [Frankfurt], 1649.
valentin_hochzeit_1616.txt	1616	Andreä, Johann Valentin	Chymische Hochzeit: Christiani Rosencreutz. Anno 1459 – Arcana publicata vilescunt; &amp; gratiam prophanata amittunt. Ergo: ne Margaritas obijce porcis, seu Asino substerne rosas (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/valentin_hochzeit_1616	Wissenschaft: Alchemie	Andreä, Johann Valentin: Chymische Hochzeit Christiani Rosencreutz Anno 1459. Straßburg, 1616. [HAB Wolfenbüttel, HAB Wolfenbüttel, A: 134.13 Phys.]
nn_nrhz273i_1849.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz273i_1849	Zeitung	Neue Rheinische Zeitung. Nr. 273. Köln, 15. April 1849.
nn_nrhz119_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz119_1848	Zeitung	Neue Rheinische Zeitung. Nr. 119. Köln, 18. Oktober 1848.
nn_nrhz110_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz110_1848	Zeitung	Neue Rheinische Zeitung. Nr. 110. Köln, 23. September 1848.
sanders_lazarus_1884.txt	1884	Sanders, Daniel	Brief an Moritz Lazarus  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/sanders_lazarus_1884	Gebrauchsliteratur: Brief	Sanders, Daniel: Brief an Moritz Lazarus. Altstrelitz, 12. Januar 1884.
storm_riew_1885.txt	1885	Storm, Theodor	John Riew&apos;, Ein Fest auf Haderslevhuus – Zwei Novellen (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/storm_riew_1885	Belletristik: Novelle	Storm, Theodor: John Riew&apos;, Ein Fest auf Haderslevhuus. Zwei Novellen. Berlin, 1885.
klein_geometrische_1872.txt	1872	Klein, Felix	Vergleichende Betrachtungen über neuere geometrische Forschungen – Programm zum Eintritt in die philosophische Facultät und den Senat der K. Friedrich-Alexanders-Universität zu Erlangen (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/klein_geometrische_1872	Wissenschaft: Mathematik	Klein, Felix: Vergleichende Betrachtungen über neuere geometrische Forschungen. Erlangen, 1872. [Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, SBB-PK, 9 in: Ah 10761]
524988a.txt	1617	N. N.	Metra exsequialia  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/524988a	Gebrauchsliteratur: Leichenpredigt	[N. N.]: Metra exsequialia. Jena, 1617. [Universitätsbibliothek Breslau , Universitätsbibliothek Breslau, 4 S 224/5 / 524988a]
nn_nrhz281_1849.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz281_1849	Zeitung	Neue Rheinische Zeitung. Nr. 281. Köln, 25. April 1849.
birken_gespraechspiel_1665.txt	1665	Birken, Sigmund von	Pegnesische Gesprächspiel-Gesellschaft von Nymfen und Hirten  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/birken_gespraechspiel_1665	Belletristik: Lyrik; Prosa	Birken, Sigmund von: Pegnesische Gesprächspiel-Gesellschaft von Nymfen und Hirten. Nürnberg, 1665. [HAB Wolfenbüttel, HAB Wolfenbüttel, Xb 5809]
augsburgerallgemeine_169_18400617.txt	1840		Allgemeine Zeitung – Nr. 169. 17. Juni 1840 (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/augsburgerallgemeine_169_18400617	Zeitung	Allgemeine Zeitung. Nr. 169. Augsburg, 17. Juni 1840.
wolf_schoenheit_1910.txt	1910	Wolf, August	Der Stern der Schönheit  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/wolf_schoenheit_1910	Belletristik: Novelle	Wolf, August: Der Stern der Schönheit. In: Deutscher Novellenschatz. Hrsg. von Paul Heyse und Hermann Kurz. Bd. 2. 2. Aufl. Berlin, [1910], S. 303–322. In: Weitin, Thomas (Hrsg.): Volldigitalisiertes Korpus. Der Deutsche Novellenschatz. Darmstadt/Konstanz, 2016.
nn_nrhz084b_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz084b_1848	Zeitung	Neue Rheinische Zeitung. Nr. 84. Köln, 24. August 1848. Beilage.
hc_822305_1736.txt	1736		Num. 82, 23. May 1736  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/hc_822305_1736	Zeitung	Stats- und Gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten, Nr. 82, 23. Mai 1736.
nn_czernowitzer1082_1907.txt	1907		Nr. 1082, 22.08.1907.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_czernowitzer1082_1907	Zeitung	Czernowitzer Allgemeine Zeitung. Nr. 1082, Czernowitz, 22.08.1907.
sanders_scherer_1879.txt	1879	Sanders, Daniel	Brief an Wilhelm Scherer  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/sanders_scherer_1879	Gebrauchsliteratur: Brief	Sanders, Daniel: Brief an Wilhelm Scherer. Altstrelitz, 7. November 1879.
hc_1172307_1771.txt	1771		Num. 117, 23. Julii 1771  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/hc_1172307_1771	Zeitung	Staats- und Gelehrte Zeitung Des Hamburgischen unpartheyischen Correspondenten. Nr. 117, Hamburg, 23. Julii 1771.
platen_gabel_1826.txt	1826	Platen, August von	Die verhängnißvolle Gabel – Ein Lustspiel in 5 Akten (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/platen_gabel_1826	Belletristik: Drama	Platen, August von: Die verhängnißvolle Gabel. Stuttgart u. a., 1826. [Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, SBB-PK, 327650]
katscher_frauenstimmrecht_1904.txt	1904	Katscher, Leopold	Das Frauenstimmrecht  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/katscher_frauenstimmrecht_1904	Gebrauchsliteratur: Gesellschaft	Katscher, Leopold: Das Frauenstimmrecht. In: Ethische Kultur 13 (1904), S. 98–99.
nn_marburger148_1912.txt	1912		Nr. 148, 10.12.1912.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_marburger148_1912	Zeitung	Marburger Zeitung. Nr. 148, Marburg, 10.12.1912.
reuter_ehrenfried_1700.txt	1700	Reuter, Christian	Graf Ehrenfried/ in einem Lust-Spiele vorgestellet  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/reuter_ehrenfried_1700	Belletristik: Drama	[Reuter, Christian]: Graf Ehrenfried. 1700. [Universitäts- und Landesbibliothek Halle, ULB Halle, Pon IId 872]
kortum_jobsiade01_1799.txt	1799	Kortum, Carl Arnold	Die Jobsiade – Ein komisches Heldengedicht in drei Theilen (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/kortum_jobsiade01_1799	Belletristik: Roman	Kortum, Carl Arnold: Die Jobsiade. Bd. 1. Dortmund, 1799. [Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, SBB-PK, 19 ZZ 5746-1/3]
justi_geschichte_1771.txt	1771	Justi, Johann Heinrich Gottlob von	Geschichte des Erd-Cörpers aus seinen äusserlichen und unterirdischen Beschaffenheiten hergeleitet und erwiesen  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/justi_geschichte_1771	Wissenschaft: Geologie	Justi, Johann Heinrich Gottlob von: Geschichte des Erd-Cörpers. Berlin, 1771. [SUB Göttingen, SUB Göttingen, 8 MIN III, 1305]
