id	year	author	title	filename	link
1914__Filippo Tommaso Marinetti__L'aeroplano del papa.txt	1914	Filippo Tommaso Marinetti	L ' aeroplano del papa		https://www.gutenberg.org/ebooks/17838
1895__Mario Rapisardi__Africa Orrenda.txt	1895	Mario Rapisardi	Africa Orrenda		https://www.gutenberg.org/ebooks/27334
1878__Anton Giulio Barrili__Lutezia.txt	1878	Anton Giulio Barrili	Lutezia		https://www.gutenberg.org/ebooks/30043
1853__Thomas Babington Macaulay__Storia d'Inghilterra, vol 1.txt	1853	Thomas Babington Macaulay	Storia d ' Inghilterra, vol 1		https://www.gutenberg.org/ebooks/46996
1922__Nino Martoglio__'A vilanza.txt	1922	Nino Martoglio	' A vilanza		https://www.gutenberg.org/ebooks/31702
1604__Giambattista Della Porta__La sorella.txt	1604	Giambattista Della Porta	La sorella		https://www.gutenberg.org/ebooks/28368
1879__Alfredo Oriani__No.txt	1879	Alfredo Oriani	No		https://www.gutenberg.org/ebooks/
1894__Giovanni Pascoli__Giacomo Leopardi (1798-1837).txt	1894	Giovanni Pascoli	Giacomo Leopardi (1798-1837)		https://www.gutenberg.org/ebooks/43178
1824__Carlo Botta__Storia d'Italia dal 1789 al 1814, tomo IV.txt	1824	Carlo Botta	Storia d ' Italia dal 1789 al 1814, tomo IV		https://www.gutenberg.org/ebooks/45904
1843__Sir Walter Scott__La promessa sposa di Lammermoor, Tomo I (of 3).txt	1843	Sir Walter Scott	La promessa sposa di Lammermoor, Tomo I (of 3)		https://www.gutenberg.org/ebooks/
1894__Roberto Bracco__Un'avventura di viaggio.txt	1894	Roberto Bracco	Un ' avventura di viaggio		https://www.gutenberg.org/ebooks/37931
1885__Matilde Serao__La conquista di Roma.txt	1885	Matilde Serao	La conquista di Roma		https://www.gutenberg.org/ebooks/
1874__Ferdinando Petruccelli della Gattina__I suicidi di Parigi.txt	1874	Ferdinando Petruccelli della Gattina	I suicidi di Parigi		https://www.gutenberg.org/ebooks/26717
1927__Gabriele D'Annunzio__Forse che sì forse che no.txt	1927	Gabriele D ' Annunzio	Forse che sì forse che no		https://www.gutenberg.org/ebooks/42673
1843__Sir Walter Scott__La promessa sposa di Lammermoor, Tomo III (of 3).txt	1843	Sir Walter Scott	La promessa sposa di Lammermoor, Tomo III (of 3)		https://www.gutenberg.org/ebooks/
1907__Alamanno De Maria__La Vettura Automobile.txt	1907	Alamanno De Maria	La Vettura Automobile		https://www.gutenberg.org/ebooks/44067
1911__Filippo Tommaso Marinetti__Distruzione.txt	1911	Filippo Tommaso Marinetti	Distruzione		https://www.gutenberg.org/ebooks/25210
1868__Vittorio Bersezio__La carità del prossimo.txt	1868	Vittorio Bersezio	La carità del prossimo		https://www.gutenberg.org/ebooks/25179
1875__Antonio Ceruti__La Seconda e Terza Guerra Punica.txt	1875	Antonio Ceruti	La Seconda e Terza Guerra Punica		https://www.gutenberg.org/ebooks/45126
1894__Roberto Bracco__Lui lei lui.txt	1894	Roberto Bracco	Lui lei lui		https://www.gutenberg.org/ebooks/37933
1869__Iginio Ugo Tarchetti__Racconti umoristici.txt	1869	Iginio Ugo Tarchetti	Racconti umoristici		https://www.gutenberg.org/ebooks/28403
1863__Giovanni Berchet__Opere.txt	1863	Giovanni Berchet	Opere		https://www.gutenberg.org/ebooks/20094
1889__Ettore Pozzi__Mentana e il dito di Dio.txt	1889	Ettore Pozzi	Mentana e il dito di Dio		https://www.gutenberg.org/ebooks/25197
1914__Alfredo Panzini__Donne, madonne e bimbi.txt	1914	Alfredo Panzini	Donne, madonne e bimbi		https://www.gutenberg.org/ebooks/42418
1919__Alfredo Panzini__Io cerco moglie!.txt	1919	Alfredo Panzini	Io cerco moglie!		https://www.gutenberg.org/ebooks/39506
1811__Anonymous__Costituzione della Repubblica Italiana e Statuti Costituzionali del Regno d'Italia.txt	1811	Anonymous	Costituzione della Repubblica Italiana e Statuti Costituzionali del Regno d ' Italia		https://www.gutenberg.org/ebooks/22025
1879__La Marchesa Colombi__Serate d'inverno.txt	1879	La Marchesa Colombi	Serate d ' inverno		https://www.gutenberg.org/ebooks/43316
1902__Luigi Barzini__L'Argentina vista come è.txt	1902	Luigi Barzini	L ' Argentina vista come è		https://www.gutenberg.org/ebooks/30369
1890__Gerolamo Rovetta__I Barbarò vol. I.txt	1890	Gerolamo Rovetta	I Barbarò vol. I		https://www.gutenberg.org/ebooks/46748
1897__Luciano Zuccoli__Roberta.txt	1897	Luciano Zuccoli	Roberta		https://www.gutenberg.org/ebooks/
1873__Anton Giulio Barrili__Raggio di Dio.txt	1873	Anton Giulio Barrili	Raggio di Dio		https://www.gutenberg.org/ebooks/
1894__Roberto Bracco__Maschere.txt	1894	Roberto Bracco	Maschere		https://www.gutenberg.org/ebooks/46163
1892__Cordelia__Piccoli eroi.txt	1892	Cordelia	Piccoli eroi		https://www.gutenberg.org/ebooks/22503
1892__Ada Negri__Esilio.txt	1892	Ada Negri	Esilio		https://www.gutenberg.org/ebooks/36792
1884__Gabriele d'Annunzio__L'Innocente.txt	1884	Gabriele d ' Annunzio	L ' Innocente		https://www.gutenberg.org/ebooks/22642
1889__Alfredo Oriani__Al di là.txt	1889	Alfredo Oriani	Al di là		https://www.gutenberg.org/ebooks/45698
1902__Grazia Deledda__Dopo il divorzio.txt	1902	Grazia Deledda	Dopo il divorzio		https://www.gutenberg.org/ebooks/43226
1908__Luciano Zùccoli__L'amore di Loredana.txt	1908	Luciano Zùccoli	L ' amore di Loredana		https://www.gutenberg.org/ebooks/34346
1902__Giovanni Targioni-Tozzetti, Guido Menasci, and Pietro Mascagni__Zanetto and Cavalleria Rusticana.txt	1902	Giovanni Targioni-Tozzetti, Guido Menasci, and Pietro Mascagni	Zanetto and Cavalleria Rusticana		https://www.gutenberg.org/ebooks/
1809__Carlo Botta__Storia della Guerra della Independenza degli Stati Uniti di America, vol. 4.txt	1809	Carlo Botta	Storia della Guerra della Independenza degli Stati Uniti di America, vol. 4		https://www.gutenberg.org/ebooks/42849
1817__J. C. L. Simondo Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, v. 15 (of 16).txt	1817	J. C. L. Simondo Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, v. 15 (of 16)		https://www.gutenberg.org/ebooks/44364
1830__Cesare Balbo__Della storia d'Italia, v. 1-2.txt	1830	Cesare Balbo	Della storia d ' Italia, v. 1-2		https://www.gutenberg.org/ebooks/19808
1831__Walter Scott__I Puritani di Scozia, vol. 3.txt	1831	Walter Scott	I Puritani di Scozia, vol. 3		https://www.gutenberg.org/ebooks/43460
1921__Adolfo Albertazzi__Top.txt	1921	Adolfo Albertazzi	Top		https://www.gutenberg.org/ebooks/38338
1862__Giuseppe Mazzini__Scritti di Giuseppe Mazzini.txt	1862	Giuseppe Mazzini	Scritti di Giuseppe Mazzini		https://www.gutenberg.org/ebooks/29325
1841__Massimo D'Azeglio__Niccolò de' Lapi.txt	1841	Massimo D ' Azeglio	Niccolò de '  Lapi		https://www.gutenberg.org/ebooks/46957
1870__Giuseppe Garibaldi__Cantoni il volontario.txt	1870	Giuseppe Garibaldi	Cantoni il volontario		https://www.gutenberg.org/ebooks/25199
1860__Francesco Domenico Guerrazzi__Messere Arlotto Mainardi.txt	1860	Francesco Domenico Guerrazzi	Messere Arlotto Mainardi		https://www.gutenberg.org/ebooks/34517
1885__Francesco Domenico Guerrazzi__Il secolo che muore, vol. II.txt	1885	Francesco Domenico Guerrazzi	Il secolo che muore, vol. II		https://www.gutenberg.org/ebooks/42776
1893__Flaminio Servi__Dante e gli Ebrei.txt	1893	Flaminio Servi	Dante e gli Ebrei		https://www.gutenberg.org/ebooks/43244
1889__Alfredo Oriani__Fino a Dogali.txt	1889	Alfredo Oriani	Fino a Dogali		https://www.gutenberg.org/ebooks/22501
1911__Federico De Roberto__La messa di nozze; Un sogno; La bella morte.txt	1911	Federico De Roberto	La messa di nozze; Un sogno; La bella morte		https://www.gutenberg.org/ebooks/
1872__Lewis Carroll__Le avventure d'Alice nel paese delle meraviglie.txt	1872	Lewis Carroll	Le avventure d ' Alice nel paese delle meraviglie		https://www.gutenberg.org/ebooks/
1909__Roberto Bracco__Maternità.txt	1909	Roberto Bracco	Maternità		https://www.gutenberg.org/ebooks/43260
1872__Ferdinando Petruccelli della Gattina__Le notti degli emigrati a Londra.txt	1872	Ferdinando Petruccelli della Gattina	Le notti degli emigrati a Londra		https://www.gutenberg.org/ebooks/47058
1862__Alfredo Panzini__Novelle d'ambo i sessi.txt	1862	Alfredo Panzini	Novelle d ' ambo i sessi		https://www.gutenberg.org/ebooks/42335
1754__Ludovico Antonio Muratori__Annali d'Italia, vol. 2.txt	1754	Ludovico Antonio Muratori	Annali d ' Italia, vol. 2		https://www.gutenberg.org/ebooks/43575
1873__Anton Giulio Barrili__I rossi e i neri, vol. 2.txt	1873	Anton Giulio Barrili	I rossi e i neri, vol. 2		https://www.gutenberg.org/ebooks/29846
