id	year	author	title	tags	link
000052370	1848	ALISON, Archibald	Atlas to accompany Alison's History of Europe. Constructed and arranged under the direction of Mr. A. K. Johnston, etc. [With supplement.]
000052372	1845	ALISON, Archibald	History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons ... Abridged from the last London edition ... by Edward S. Gould. Fourth edition
000052372	1845	ALISON, Archibald	History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons ... Abridged from the last London edition ... by Edward S. Gould. Fourth edition
000054820	1846	ALLEN, Carl Ferdinand.	Geschichte des Königreiches Dänemark, mit steter Rücksicht auf die innere Entwickelung in Staat und Volk ... Übersetzt ... vermehrt und mit einem Vorwort begleitet von Dr. N. Falck ... Zweite ... vermehrte Auflage
000054821	1843	ALLEN, Carl Ferdinand.	Lærebog i Danmarks Historie til Skolebrug
000056938	1847	ALLEN, Thaddeus.	Inquiry into the Views, Principles, Services and Influences of the leading men in the origination of our Union and in the formation and early administration of our present government. vol. 1
000057124	1848	ALLEN, William	A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt. H. D. Trotter. [With plates.]
000057124	1848	ALLEN, William	A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt. H. D. Trotter. [With plates.]
000057998	1840	ALLIES, Jabez.	On the Ancient British, Roman and Saxon Antiquities of Worcestershire
000057998	1840	ALLIES, Jabez.	On the Ancient British, Roman and Saxon Antiquities of Worcestershire
000058001	1846	ALLIES, Jabez.	On the Ignis Fatuus, or Will-o'-the-Wisp, and the Fairies
000058002	1845	ALLIES, Jabez.	On the Jovial Hunter of Bromsgrove, Horne the Hunter, and Robin Hood
000058002	1845	ALLIES, Jabez.	On the Jovial Hunter of Bromsgrove, Horne the Hunter, and Robin Hood
000059061	1845	ALLOWAY, Robert M. M.	Peat Coal versus Pit Coal
000059075	1841	ALLPORT, Douglas	Collections, illustrative of the geology, history, antiquities, and associations, of Camberwell, and the neighbourhood
000059076	1842	ALLPORT, Douglas	Maidstone; its geology, history, antiquities and traditions, discussed in a memoir recommending farther inquiry on the subject, etc
000063932	1842	ALTMEYER, Jean Jacques.	Voyage dans les villes Hanséatiques et en Danemark, par la Hollande et l'Allemagne
000064601	1847	ALVARADO, Pedro de.	Proceso de Residencia contra Pedro de Alvarado (y Nuño de Guzman). Ilustrado con estampas, sacadas de los antiguos codices Mexicanos, y notas y noticias biograficas ... por D. José Fernando Ramirez. Lo publica paleografiado del ms. original ... I. L. Rayon. [With a portrait.]
000064701	1841	ALVARES D'ALMADA, André.	Tratado breve dos Rios de Guiné do Cabo-Verde, desde o Rio do Sanagá até aos baixos de Sant' Anna ... 1594. Publicado por Diogo Köpke. [With a map.]
000064858	1845	ÁLVAREZ, Juan	Manifiesto que dirige á la nacion el general Juan Alvarez, con motivo de la representacion calumniosa que unos emigrados de la villa de Chilapa hicieron á la Augusta Cámara de Diputados en Febrero último
000068637	1846	AMELIA, pseud. [i.e. Amelia B. Welby.]	Poems by Amelia. Second edition, enlarged
000069006	1841	AMERICA	Graphic Sketches from Old and Authentic Works, illustrating the costume, habits and character of the Aborigines of America, etc. (Part I. The Natives of Virginia, by John Wyth. 1585-1588.)
000072990	1848	AMRINGE, William Frederick van.	An Investigation of the Theories of the Natural History of Man, by Lawrence, Prichard, and others, founded upon animal analogies: and an outline of a new Natural History of Man, founded upon history, anatomy, physiology, and human analogies
000076454	1839	DENNIS, George	A Summer in Andalucia. [By George Dennis.]
000077482	1846	Andersen, H. C. (Hans Christian)	A Poet's Bazaar. From the Danish ... by Charles Beckwith [i.e. C. Beckwith Lohmeyer.]
