id	year	author	title	tags	link
1856__7__Hendrik Conscience__The Poor Gentleman_distribution_gutenberg.txt	1856	Hendrik Conscience	The Poor Gentleman		https://www.gutenberg.org/ebooks/
1910__37__Rose Macaulay__The Lee Shore_distribution_gutenberg.txt	1910	Rose Macaulay	The Lee Shore		https://www.gutenberg.org/ebooks/
1615__2__Samuel Ward__A Coal From The Altar, To Kindle The Holy Fire of Zeale_distribution_gutenberg.txt	1615	Samuel Ward	A Coal From The Altar, To Kindle The Holy Fire of Zeale		https://www.gutenberg.org/ebooks/16423
1873__22__Various__The Aldine, Vol. 5, No. 1., January, 1872_distribution_gutenberg.txt	1873	Various	The Aldine, Vol. 5, No. 1., January, 1872		https://www.gutenberg.org/ebooks/15092
1894__9__Jonas Lie__The Visionary_distribution_gutenberg.txt	1894	Jonas Lie	The Visionary		https://www.gutenberg.org/ebooks/13922
1878__35__Benito Pérez Galdós__Doña Perfecta_distribution_gutenberg.txt	1878	Benito Pérez Galdós	Doña Perfecta		https://www.gutenberg.org/ebooks/15725
1920__29__Thomas Hope Floyd__At Ypres with Best-Dunkley_distribution_gutenberg.txt	1920	Thomas Hope Floyd	At Ypres with Best-Dunkley		https://www.gutenberg.org/ebooks/17813
1920__35__James C. Welsh__The Underworld_distribution_gutenberg.txt	1920	James C. Welsh	The Underworld		https://www.gutenberg.org/ebooks/
1916__10__Katherine M. H. Blackford and Arthur Newcomb__Analyzing Character_distribution_gutenberg.txt	1916	Katherine M. H. Blackford and Arthur Newcomb	Analyzing Character		https://www.gutenberg.org/ebooks/
1868__5__Henry C. Carey__Letters on International Copyright; Second Edition_distribution_gutenberg.txt	1868	Henry C. Carey	Letters on International Copyright; Second Edition		https://www.gutenberg.org/ebooks/14295
1896__12__Maria Mitchell__Maria Mitchell: Life, Letters, and Journals_distribution_gutenberg.txt	1896	Maria Mitchell	Maria Mitchell: Life, Letters, and Journals		https://www.gutenberg.org/ebooks/10202
