ec1097	K002867.000
ec1098	K114226.004
ec1099	K050282.000
ec1100	K021305.000
ec1101	K043587.000
ec1102	K041717.000
ec1103	K093508.000
ec1104	K084761.000
ec1105	K086431.000
ec1106	K021264.000
ec1107	K049439.000
ec1108	K041573.002
ec1109	K031892.000
ec1110	K068880.000
ec1111	K047748.000
ec1112	K008295.004
ec1113	K114699.000
ec1114	K006521.000
ec1115	K050358.000
ec1116	K111213.000
ec1117	K057134.000
ec1118	K043195.000
ec1119	K123738.000
ec1120	K105471.000
ec1121	K078489.002
ec1122	K048137.000
ec1123	K023274.000
ec1124	K008839.000
ec1125	K067641.001
ec1126	K107399.000
ec1127	K135767.000
ec1128	K049508.000
ec1129	K023299.000
ec1130	K059055.000
ec1131	K112190.000
ec1132	K103123.001
ec1133	K088587.000
ec1134	K080052.001
ec1135	K049335.003
ec1136	K049335.002
ec1137	K074568.000
ec1138	K124044.000
ec1139	K022990.002
ec1140	K030342.000
ec1141	K093174.006
ec1142	K022120.000
ec1143	K065853.000
ec1144	K039474.000
ec1145	K035747.000
ec1146	K022849.000
ec1147	K132097.001
ec1148	K043382.000
ec1149	K114616.000
ec1150	K016527.005
ec1151	K113598.002
ec1152	K049468.000
ec1153	K121967.000
ec1154	K062330.000
ec1155	K055580.000
ec1156	K060624.000
ec1157	K013110.000
ec1158	K001415.000
ec1159	K065604.000
ec1160	K043839.000
ec1161	K114806.000
ec1162	K063195.000
ec1163	K053061.001
ec1164	K016151.000
ec1165	K056674.000
ec1166	K059833.000
ec1167	K074278.001
ec1168	K056324.002
ec1169	K034728.000
ec1170	K118563.000
ec1171	K095919.001
ec1172	K075503.000
ec1173	K000379.000
ec1174	K082715.000
ec1175	K021793.004
ec1176	K077983.000
ec1177	K093079.002
ec1178	K078914.004
ec1179	K030050.000
ec1180	K113552.001
ec1181	K022939.008
ec1182	K049440.000
ec1183	K097659.000
ec1184	K065082.005
ec1185	K043997.000
ec1186	K025748.000
ec1187	K056800.000
ec1188	K110269.000
ec1189	K035558.000
ec1190	K029542.000
ec1191	K131881.000
ec1192	K051255.000
ec1193	K032610.000
ec1194	K048444.000
ec1195	K118235.000
ec1196	K127472.000
ec1197	K021103.000
ec1198	K048917.000
ec1199	K001036.000
ec1200	K037211.000
ec1201	K000958.000
ec1202	K058248.000
ec1203	K040557.000
ec1204	K021793.001
ec1205	K133021.000
ec1206	K059399.000
ec1207	K049308.005
ec1208	K102183.002
ec1209	K046628.000
ec1210	K040929.000
ec1211	K075282.000
ec1212	K105365.000
ec1213	K008857.002
ec1214	K036039.000
ec1215	K077667.000
ec1216	K020901.000
ec1217	K076937.000
ec1218	K111682.000
ec1219	K059526.000
ec1220	K043302.000
ec1221	K084956.000
ec1222	K027268.000
ec1223	K113231.000
ec1224	K023197.000
ec1225	K053196.000
ec1226	K042020.000
ec1227	K050119.000
ec1228	K118191.000
ec1229	K000180.000
ec1230	K102523.001
ec1231	K097310.008
ec1232	K053904.002
ec1233	K114081.000
ec1234	K113660.001
ec1235	K050551.001
ec1236	K041684.001
ec1237	K005796.000
ec1238	K060118.000
ec1239	K131636.000
ec1240	K044290.000
ec1241	K033853.000
ec1242	K006726.000
ec1243	K090722.000
ec1244	K112418.000
ec1245	K065858.001
ec1246	K052227.003
ec1247	K091678.001
ec1248	K063086.000
ec1249	K064499.002
ec1250	K028112.000
ec1251	K039201.000
ec1252	K021000.000
ec1253	K023150.000
ec1254	K062984.000
ec1255	K060545.001
ec1256	K035874.000
ec1257	K045301.000
ec1258	K086741.000
ec1259	K094982.000
ec1260	K093079.001
ec1261	K092786.005
ec1262	K106472.001
ec1263	K022979.000
ec1264	K089369.003
ec1265	K001755.000
ec1266	K001439.000
ec1267	K033573.000
ec1268	K002806.000
ec1269	K015178.000
ec1270	K099270.002
ec1271	K063333.000
ec1272	K022968.001
ec1273	K026247.000
ec1274	K048041.000
ec1275	K036550.000
ec1276	K061277.000
ec1277	K064769.000
ec1278	K114226.002
ec1279	K049443.000
ec1280	K113622.000
ec1281	K064570.000
ec1282	K080662.003
ec1283	K045342.000
ec1284	K112277.000
ec1285	K047375.000
ec1286	K020298.000
ec1287	K064831.002
ec1288	K023005.005
ec1289	K027631.000
ec1290	K052751.000
ec1291	K109756.007
ec1292	K120907.000
ec1293	K049295.001
ec1294	K108031.002
ec1295	K037936.000
ec1296	K090103.000
ec1297	K111445.000
ec1298	K023456.002
ec1299	K108983.002
ec1300	K085950.000
ec1301	K019588.000
ec1302	K008205.000
ec1303	K102171.000
ec1304	K082269.005
ec1305	K046182.000
ec1306	K008947.000
ec1307	K044761.000
ec1308	K016332.002
ec1309	K096120.016
ec1310	K101613.000
ec1311	K103123.002
ec1312	K087560.000
ec1313	K024590.000
ec1314	K032309.000
ec1315	K068486.001
ec1316	K099588.000
ec1317	K079321.002
ec1318	K000780.000
ec1319	K080184.000
ec1320	K057352.000
ec1321	K001048.000
ec1322	K056360.000
ec1323	K049335.001
ec1324	K080111.000
ec1325	K090455.000
ec1326	K034200.000
ec1327	K046926.000
ec1328	K059581.001
ec1329	K108056.000
ec1330	K024112.000
ec1331	K073091.000
ec1332	K028409.000
ec1333	K029999.000
ec1334	K052227.006
ec1335	K050364.000
ec1336	K091154.001
ec1337	K016122.000
ec1338	K025054.000
ec1339	K111051.000
ec1340	K019770.001
ec1341	K025325.000
ec1342	K015523.000
ec1343	K078562.000
ec1344	K050567.001
ec1345	K061209.002
ec1346	K028419.000
ec1347	K104099.005
ec1348	K053219.000
ec1349	K042725.000
ec1350	K049452.000
ec1351	K046500.000
ec1352	K057724.000
ec1353	K099659.002
ec1354	K050336.000
ec1355	K061209.001
ec1356	K007929.000
ec1357	K111807.000
ec1358	K096840.000
ec1359	K030458.000
ec1360	K022096.000
ec1361	K067975.000
ec1362	K026317.000
ec1363	K027621.002
