K060118.000	2006	Defoe, Daniel, attributed name. 1661?-1731,	The case of Protestant dissenters in Carolina, shewing how a law to prevent occasional conformity there, has ended in the total subversion of the constitution in church and state.:
K047523.000	2006	Stevens, George Alexander, 1710-1784.	The wonderful old man. Written by George Alexander Steevens. Tune - Derry down:
K049335.002	2006	Smollett, Tobias George, 1721-1771.	The adventures of Peregrine Pickle: In which are included, Memoirs of a lady of quality. In four volumes. ... [pt.2]
K060128.000	2006	Defoe, Daniel, 1661?-1731.	A hymn to the pillory:
K000076.000	2006	Sheridan, Thomas, 1719-1788.	The buskin and sock: being controversial letters between Mr. Thomas Sheridan, tragedian, and Mr. Theophilus Cibber, comedian; just published in Dublin.
K000659.000	2006	Amhurst, N. (Nicholas), 1697-1742.	A congratulatory epistle to the Right Honourable Joseph Addison, Esq: occasioned, by his being made one of His Majesty's principal secretaries of state. By a student at Oxford.
K040288.000	2006	Garrick, David, 1717-1779.	The gamesters: a comedy. Alter'd from Shirley. As it is perform'd, by His Majesty's servants, at the Theatre-Royal in Drury-Lane.
K014065.000	2006	Defoe, Daniel, 1661?-1731.	The succession of Spain consider'd: or, a view of the several interests of the princes and powers of Europe, as they respect the succession of Spain and the Empire.
K097554.000	2006	Whitehead, William, of Newcastle.	An explanation of the arms of the several incorporated companies in the town and county of Newcastle upon Tyne: According to Guillim, Bailey, and others. Published for the subscribers to the plate. By W. Whitehead, and T. Jameson.
K074765.001	2006	Shenstone, William, 1714-1763.	The works in verse and prose, of William Shenstone, Esq: most of which were never before printed. In two volumes, with decorations. ... [pt.1]
K053903.002	2006	Radcliffe, Ann Ward, 1764-1823.	The mysteries of Udolpho: a romance; interspersed with some pieces of poetry. By Ann Radcliffe, ... In four volumes. ... [pt.2]
K045733.000	2006	Colman, George, 1732-1794.	Some particulars of the life of the late George Colman, Esq. Written by himself, and delivered by him to Richard Jackson, ... for publication after his decease:
K059170.000	2006	Defoe, Daniel, 1661?-1731.	The quarrel of the school-boys at Athens: as lately acted at a school near Westminster.
K040548.000	2006	Whitehead, William, 1715-1785.	The goat's beard. A fable:
K041573.002	2006	Smart, Christopher, 1722-1771.	The poems, of the late Christopher Smart, ... Consisting of his prize poems, odes, sonnets, and fables, Latin and English translations;: [pt.2]
K042725.000	2006	Tickell, Richard, 1751-1793.	The project. A poem. Dedicated to Dean Tucker:
K056925.000	2006	Defoe, Daniel, 1661?-1731.	The representation of the Lower House of Convocaion [sic] of the English clergy examined: being remarks on the present state of religion now in England:
K075606.004	2006	None	A select collection of poems: with notes, biographical and historical.: [pt.4]
K035876.000	2006	Defoe, Daniel, 1661?-1731.	The history of the Kentish petition:
K028409.000	2006	Foote, Samuel, 1720-1777.	Wit for the ton! The convivial jester; or Sam Foote's last budget opened: Containing original and authentic anecdotes, bon mots, ... with authentic memoirs of his life and writings, ...
K108002.000	2006	Psalmanazar, George, 1679?-1763.	An enquiry into the objections against George Psalmanaazaar of Formosa: In which the accounts of the people, ... are proved not to contradict his accounts. With accurate and authentick maps ... To which is added, George Psalmanaazaar's answer to Mons. D'Amalvy of Sluice.
K029306.000	2006	Foote, Samuel, 1720-1777.	The nabob: a comedy, in three acts. As it is performed at the Theatre-Royal in the Haymarket. Written by the late Samuel Foote, Esq. and now published by Mr. Colman.
K096030.000	2006	Sheridan, Frances Chamberlaine, 1724-1766.	The discovery: a comedy. As it is performed at the Theatre-Royal in Drury-Lane. Written by the editor of Miss Sidney Bidulph.
K041599.000	2006	Amhurst, N. (Nicholas), 1697-1742.	Poems on several occasions: Dedicated to the Reverend Dr. Delaune, ... By N. Amhurst, ...
K123160.000	2006	Defoe, Daniel, attributed name. 1661?-1731,	A supplement to the Faults on both sides: containing the compleat history of the proceedings of a party, ever-since the Revolution: in a familiar dialogue between Steddy and Turn-round, two displac'd officers of state. Which may serve to explain Sir Thomas Double; ...
K052994.003	2006	Murray, James, 1732-1782.	The history of religion: particularly of the principal denominations of Christians, ... Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: ... By an impartial hand. [pt.3]
K020344.000	2006	Defoe, Daniel, attributed name. 1661?-1731,	Moderation maintain'd, in defence of A compassionate enquiry into the causes of the civil war, &amp;c. In a sermon preached ... by White Kennet,:
K011043.000	2006	Cumberland, Richard, 1732-1811.	The impostors: a comedy. Performed at the Theatre Royal Drury Lane. By Richard Cumberland, Esq.
K080543.000	2006	Whitehead, William, of Newcastle.	The historian's pocket companion: or, memory's assistant. Wherein the most remarkable events that have happened in this country, ... are recorded; ...
K034255.000	2006	Hawkins, John, Sir, 1719-1789.	A charge to the Grand Jury of the County of Middlesex. Delivered ... on Monday the eighth day of January 1770. By John Hawkins,:
K049314.003	2006	Smollett, Tobias George, 1721-1771.	The expedition of Humphry Clinker: By the author of Roderick Random. In three volumes. ... [pt.3]
K050407.000	2006	Defoe, Daniel, 1661?-1731.	Some national grievances, viz. The unequalness of court preferments. The keeping up the army. The S------l Act. ... Considered and fairly represented in a letter to R--- W--- Esq:
K107389.003	2006	Shenstone, William, 1714-1763.	The works, in verse and prose, of William Shenstone, Esq; vol. III: Containing letters to particular friends, from the year 1739 to 1763. [pt.3]
K059581.002	2006	Williams, Helen Maria, 1762-1827.	Poems: by Helen Maria Williams. In two volumes. ... [pt.2]
K035558.000	2006	Centlivre, Susanna, 1667?-1723.	The election. A comedy of three acts. As it is now acting in London with great applause:
K023859.000	2006	Reed, Joseph, 1723-1787.	Saint Peter's lodge: a serio-comi-legendary tale. In Hudibrastic verse. By the author of the Register-office:
K013718.000	2006	Colman, George, 1732-1794.	The spleen, or, Islington Spa: a comick piece, of two acts. As it is performed at the Theatre Royal, in Drury-Lane. By George Colman.
K039588.000	2006	Hill, Aaron, 1685-1750.	Merope: A tragedy. Acted at the Theatre-Royal in Drury-Lane, by His Majesty's servants. By Aaron Hill, Esq;.
K050319.000	2006	Defoe, Daniel, 1661?-1731.	A new test of the sence [sic] of the nation: being a modest comparison between the addresses to the late King James, and those to Her present Majesty. ...
K049335.001	2006	Smollett, Tobias George, 1721-1771.	The adventures of Peregrine Pickle: In which are included, Memoirs of a lady of quality. In four volumes. ... [pt.1]
K067385.007	2006	Hume, David, 1711-1776.	The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... [pt.7]
K005784.000	2006	Cumberland, Richard, 1732-1811.	The note of hand: or, trip to Newmarket. As it is acted at the Theatre-Royal in Drury-Lane.
K112012.000	2006	Berkeley, George, 1733-1795.	The danger of violent innovations in the state: exemplified from the reigns of the two first Stuarts, in a sermon preached at the cathedral and metropolitical Church of Christ, Canterbury, on Monday, Jan. 31, 1785, ... By George Berkeley, ...
K055770.002	2006	Sheridan, Frances Chamberlaine, 1724-1766.	Memoirs of Miss Sidney Bidulph: extracted from her own journal, and now first published. In two volumes. ... [pt.2]
K063533.000	2006	Tickell, Richard, 1751-1793.	Anticipation: (for the year MDCCLXXIX.) containing the substance of His M----y's most gracious speech to both H----s of P----l------t, on the opening of the approaching session. Together with a full and authentic account of the debate which will take place in the H--e of C---s:
K049385.001	2006	Smollett, Tobias George, 1721-1771.	Travels through France and Italy: ... With a particular description of the town, territory, and climate of Nice: to which is added, a register of the weather, kept during a residence of eighteen months in that city. By T. Smollett, M.D. In two volumes. ... [pt.1]
K024211.000	2006	Whitehead, William, 1715-1785.	A trip to Scotland: As it is acted at the Theatre Royal in Drury-Lane.
K022939.005	2006	Pope, Alexander, 1688-1744.	The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton: [pt.5]
K013085.000	2006	Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.	Secret memoirs of the Duke and Dutchess of O::::: intermix'd with the amorous intrigues and adventures of the most eminent princes of the court of France. Written by Madam d'Aunoy, author of The ladies travels into Spain. Made English from the Paris edition:
K049287.000	2006	Smollett, Tobias George, 1721-1771.	An essay on the external use of water. In a letter to Dr. **** ... By T. Smollett, M.D:
K075606.008	2006	None	A select collection of poems: with notes, biographical and historical.: [pt.8]
K067385.001	2006	Hume, David, 1711-1776.	The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... [pt.1]
K085905.000	2006	Bickerstaff, Isaac, 1735-1812.	He wou'd if he cou'd; or, an old fool worse than any: a burletta: As it is performed at the Theatre Royal in Drury-Lane. The music by Mr. Dibdin.
K059797.000	2006	Drury, Robert, 1687-1734?	Madagascar: or, Robert Drury's journal: during fifteen years captivity on that island. ... Written by himself; ...
K029307.000	2006	Foote, Samuel, 1720-1777.	The cozeners: a comedy, in three acts. As it is performed at the Theatre-Royal in the Haymarket. Written by the late Samuel Foote, Esq. and now published by Mr. Colman.
