id	title	year	sameAs	author	license	publisher	type	archive	link
bpt6k54682424.txt	A la mémoire de Monsieur le curé de Bressuire. A ses amies	1867	https://data.bnf.fr/ark:/12148/bpt6k54682424		Public domain	imp. de H. Oudin (Poitiers)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k54682424
bpt6k9674428w.txt	Edmond-Jean-Marie Durnerin et Marie-Eulalie Julie Tansard : 12 mai 1888	1889	https://data.bnf.fr/ark:/12148/bpt6k9674428w	Pinat, H. (Abbé)	Public domain	impr. de F. Levé (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9674428w
bpt6k6460142h.txt	Album poétique des jeunes personnes, ou Choix de poésies extrait des meilleurs auteurs français... précédé de réflexions sur les règles de l'art poétique, par Mme A. Tastu...	1854	https://data.bnf.fr/ark:/12148/bpt6k6460142h	Tastu, Amable (1798-1885)	Public domain	Didier (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6460142h
bpt6k5403512t.txt	Chanson sur la naissance de monseigneur le duc de Bourgogne	1751	https://data.bnf.fr/ark:/12148/bpt6k5403512t	A. (17..-17.. ; jésuite)	Public domain	([Paris.] De l'imprimerie de Thiboust, imprimeur du Roi, place de Cambray. [1751])	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5403512t
bpt6k6469051x.txt	Notice biographique. L'abbé Marie-Louis Lorton, ancien vicaire de La Clayette, décédé à Cannes, le 8 décembre 1876	1877	https://data.bnf.fr/ark:/12148/bpt6k6469051x		Public domain	(Autun)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6469051x
bpt6k97667258.txt	Pour bien connaître la Tunisie. Compagnie fermière des chemins de fer tunisiens	1930	https://data.bnf.fr/ark:/12148/bpt6k97667258		Public domain	imp. de Maréchal (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k97667258
bpt6k67832q.txt	Histoire d'une jeune fille sauvage, trouvée dans les bois à l'âge de dix ans . Publiée par madame H....t	1755	https://data.bnf.fr/ark:/12148/bpt6k67832q	Hecquet, Marie-Catherine (1686-1764)	Public domain	A Paris. M. DCC. LV	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k67832q
bpt6k5818311h.txt	"Remerciement à M. B** auteur des lettres sur la peinture, vulgairement appelées ""La Critique du Salon"", et imprimées, à Genève en 1750 . Par M. Z**. Peintre de l'Académie de Saint-Luc"	1751	https://data.bnf.fr/ark:/12148/bpt6k5818311h		Public domain	[s.n.]	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5818311h
bpt6k6380995q.txt	Déclassement des fortifications et annexion à la ville de Paris des terrains de la zône des servitudes militaires. Requête présentée par la ville de Saint-Mandé... pour obtenir une modification au projet de convention à passer entre l'Etat et la ville de Paris	1913	https://data.bnf.fr/ark:/12148/bpt6k6380995q		Public domain	impr. de Courtier (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6380995q
bpt6k5625585c.txt	Vie de Mlle de Melun,...	1843	https://data.bnf.fr/ark:/12148/bpt6k5625585c		Public domain	Poussielgue-Rusand (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5625585c
bpt6k5576660b.txt	Quelques idées sur la réforme (électorale), par M. le marquis de Bellenaves	1839	https://data.bnf.fr/ark:/12148/bpt6k5576660b	Bellenaves, Mis de	Public domain	impr. de P.-A. Desrosiers (Moulins)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5576660b
bpt6k9762954f.txt	Origine de la Caisse d'escompte ; ses progrès, ses révolutions... ou Lettre de M. Ducloz-Dufresnoy,... à M. le comte de Mirabeau, sur sa motion concernant la Caisse d'escompte...	1789	https://data.bnf.fr/ark:/12148/bpt6k9762954f	Ducloz-Dufresnoy, Charles-Nicolas (1733-1794)	Public domain	Clousier (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9762954f
bpt6k9791314c.txt	Sentence de l'élection de Reims, qui confisque soixante livres dix onces de faux tabac saisi chez les capucins de Rethel-Mazarin, & les condamne en mille livres d'amende ; leur enjoint de se conformer aux ordonnances & réglemens, & notamment aux arrêt & lettres patentes des 25 janvier 1724 & 24 mars 1727, qui autorisent les capitaines généraux les fermes à faire des visites domiciliaires dans les maisons des ecclésiastiques, nobles, bourgeois & autres, sans permission de juges . Du 2 décembre 1747	1748	https://data.bnf.fr/ark:/12148/bpt6k9791314c	France. Election (Reims, Marne)	Public domain	impr. royale (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9791314c
bpt6k9610468h.txt	Ecole d'application de l'artillerie et du génie. Cours d'artillerie. Bouches à feu. 4 leçons proféssées aux officiers-élèves d'artillerie / E. Dessirier, Cpt d'art.,...	1910	https://data.bnf.fr/ark:/12148/bpt6k9610468h		Public domain	Lithographie de l'Ecole d'application de l'artillerie et du génieLithographie de l'Ecole d'application de l'artillerie et du génie	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9610468h
bpt6k5858978v.txt	Le diopte Au Roy, et à la France	1619	https://data.bnf.fr/ark:/12148/bpt6k5858978v		Public domain		monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5858978v
bpt6k5629495n.txt	Le rêve d'un vieux chevalier français, quelques jours après les mémorables événements qui ont replacé sur le trône l'auguste famille des Bourbons ; par le chevalier H...y G.....t, ancien officier...	1814	https://data.bnf.fr/ark:/12148/bpt6k5629495n	Chevalier H...y G.....t	Public domain	Delaunay (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5629495n
bpt6k5567088c.txt	De l'Adoption, en droit romain. Du Nom de famille et des titres de noblesse, en droit français. Thèse pour le doctorat, par Paul Tournade,...	1882	https://data.bnf.fr/ark:/12148/bpt6k5567088c	Tournade, Paul (Edmond-Armand-Paul)	Public domain	A. Cotillon (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5567088c
bpt6k5462527m.txt	Journée du trente novembre 1825	1826	https://data.bnf.fr/ark:/12148/bpt6k5462527m		Public domain	impr. de Fain (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5462527m
bpt6k5832026m.txt	Notice d'une nombreuse collection d'objets d'art et de curiosité... de M. et Mme ***...	1855	https://data.bnf.fr/ark:/12148/bpt6k5832026m		Public domain	Maude & Renou (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5832026m
bpt6k97444890.txt	Règlement du secrétaire d'état de la guerre concernant les officiers, bas-officiers & soldats des compagnies détachées de l'Hôtel royal des Invalides, qui desireront rentrer au service dans les troupes du Roi . Du 16 octobre 1755	1755	https://data.bnf.fr/ark:/12148/bpt6k97444890	France. Secrétariat d'Etat à la guerre (15..-1791)	Public domain	impr. royale (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k97444890
bpt6k5679528z.txt	Relation de la fête militaire qui a eu lieu le jour de Pâques, 3 avril 1831, sur la côte de Montciel, près de Lons-le-Saulnier, à l'occasion de la remise à la Garde nationale du drapeau et des deux pièces de canon que S. M. a donnés au chef-lieu du Jura / par Courbet fils,...	1831	https://data.bnf.fr/ark:/12148/bpt6k5679528z	Courbet (fils, imprimeur)	Public domain	Vve Trouvé (Lons-le-Saulnier)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5679528z
bpt6k6349670j.txt	Funérailles du général Fantin des Odoards	1866	https://data.bnf.fr/ark:/12148/bpt6k6349670j		Public domain	Impr. de Poitevin (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6349670j
bpt6k55398403.txt	Simples questions sur l'hérédité et la constitution de la pairie en France, par M. Eugène Renault,...	1831	https://data.bnf.fr/ark:/12148/bpt6k55398403	Renault, Eugène (18..?-18.. ; avocat)	Public domain	tous les libraires (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k55398403
bpt6k6470878t.txt	Le Crime de Fontenoy . (Signé : Ass. Borel.)	1871	https://data.bnf.fr/ark:/12148/bpt6k6470878t	Borel, Ass.	Public domain	Impr. de E. Chambaud (Bourg)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6470878t
bpt6k5579276r.txt	"La constitution française défendue contre le journal ""le Temps"""	1841	https://data.bnf.fr/ark:/12148/bpt6k5579276r		Public domain	Sapia (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5579276r
