uri,label
http://vocab.getty.edu/aat/300206579,combinatie anorganisch/organisch materiaal
http://vocab.getty.edu/aat/300206579,combinaciones de material orgánico e inorgánico
http://vocab.getty.edu/aat/300237910,jian
http://vocab.getty.edu/aat/300237910,base (substance)
http://vocab.getty.edu/aat/300237910,base (substance)
http://vocab.getty.edu/aat/300237910,base (sustancia)
http://vocab.getty.edu/aat/300237910,base
http://vocab.getty.edu/aat/300237910,鹼 (物質)
http://vocab.getty.edu/aat/300237910,jiǎn
http://vocab.getty.edu/aat/300237910,chien
http://vocab.getty.edu/aat/300015378,liquid
http://vocab.getty.edu/aat/300015378,液體
http://vocab.getty.edu/aat/300015378,yì tǐ
http://vocab.getty.edu/aat/300015378,yi ti
http://vocab.getty.edu/aat/300015378,i t'i
http://vocab.getty.edu/aat/300015378,vloeistof
http://vocab.getty.edu/aat/300015378,líquido
http://vocab.getty.edu/aat/300014247,cord (fiber product)
http://vocab.getty.edu/aat/300014247,cords (fiber products)
http://vocab.getty.edu/aat/300014247,mecatl
http://vocab.getty.edu/aat/300014247,mecatl
http://vocab.getty.edu/aat/300014247,mecameh
http://vocab.getty.edu/aat/300014247,koord (vezelproduct)
http://vocab.getty.edu/aat/300014247,cuamecatl
http://vocab.getty.edu/aat/300014247,cordage
http://vocab.getty.edu/aat/300014247,corde (cord)
http://vocab.getty.edu/aat/300014247,cordes (cords)
http://vocab.getty.edu/aat/300014247,Fädelschnur
http://vocab.getty.edu/aat/300014247,cuerda (producto de fibra)
http://vocab.getty.edu/aat/300014247,mecate
http://vocab.getty.edu/aat/300014247,cordón (fiber product)
http://vocab.getty.edu/aat/300014247,mecates
http://vocab.getty.edu/aat/300014635,filament (material)
http://vocab.getty.edu/aat/300014635,filament (vezel)
http://vocab.getty.edu/aat/300014635,filaments (materials)
http://vocab.getty.edu/aat/300014635,細絲
http://vocab.getty.edu/aat/300014635,xì sī
http://vocab.getty.edu/aat/300014635,xi si
http://vocab.getty.edu/aat/300014635,hsi ssu
http://vocab.getty.edu/aat/300014635,filamento
http://vocab.getty.edu/aat/300014801,adhesive
http://vocab.getty.edu/aat/300014801,adhesives
http://vocab.getty.edu/aat/300014801,bonding agent
http://vocab.getty.edu/aat/300014801,bonding material
http://vocab.getty.edu/aat/300014801,adhesivo
http://vocab.getty.edu/aat/300014801,cement (adhesive)
http://vocab.getty.edu/aat/300014801,黏著劑
http://vocab.getty.edu/aat/300014801,接合劑
http://vocab.getty.edu/aat/300014801,hechtmiddel
http://vocab.getty.edu/aat/300014801,黏合劑
http://vocab.getty.edu/aat/300014801,nián zhuó jì
http://vocab.getty.edu/aat/300014801,nian zhuo ji
http://vocab.getty.edu/aat/300014801,nien cho chi
http://vocab.getty.edu/aat/300014801,adhésif
http://vocab.getty.edu/aat/300014801,adhésifs
http://vocab.getty.edu/aat/300014801,adhésive
http://vocab.getty.edu/aat/300014801,Klebstoff
http://vocab.getty.edu/aat/300014801,adesivo
http://vocab.getty.edu/aat/300014801,adesivo
http://vocab.getty.edu/aat/300014801,adesivos
http://vocab.getty.edu/aat/300014801,adhesiv
http://vocab.getty.edu/aat/300014801,bindemedel
http://vocab.getty.edu/aat/300247011,isotopes
http://vocab.getty.edu/aat/300247011,isotopes
http://vocab.getty.edu/aat/300247011,isotope
http://vocab.getty.edu/aat/300247011,isotope
http://vocab.getty.edu/aat/300247011,同位素
http://vocab.getty.edu/aat/300247011,tóng wèi sù
http://vocab.getty.edu/aat/300247011,tong wei su
http://vocab.getty.edu/aat/300247011,t'ung wei su
http://vocab.getty.edu/aat/300247011,isotopen
http://vocab.getty.edu/aat/300247011,isotoop
http://vocab.getty.edu/aat/300247011,isótopos
http://vocab.getty.edu/aat/300247011,isótopo
http://vocab.getty.edu/aat/300221157,crystal (material by form)
http://vocab.getty.edu/aat/300221157,結晶 (依形式區分之材料)
http://vocab.getty.edu/aat/300221157,晶體
http://vocab.getty.edu/aat/300221157,jié jīng
http://vocab.getty.edu/aat/300221157,jie jing
http://vocab.getty.edu/aat/300221157,chieh ching
