id	year	author	title	filename	link
1897__Panzacchi_Enrico__La_musica_Conferenza_tenuta_a_Firenze_nel_1896.txt	1897	Panzacchi, Enrico	La musica (Conferenza tenuta a Firenze nel 1896)
1853__Byron_George_Gordon__Opere_complete_di_Lord_Giorgio_Byron_Volume_quinto.txt	1853	Byron, George Gordon	Opere complete di Lord Giorgio Byron. Volume quinto
2001__Antonelli_Luigi__C_qualcuno_al_cancello.txt	2001	Antonelli, Luigi	C'è qualcuno al cancello
1969__Goldoni_Carlo__Il_Teatro_Comico.txt	1969	Goldoni, Carlo	Il Teatro Comico
1923__Tilgher_Adriano__Studi_sul_teatro_contemporaneo.txt	1923	Tilgher, Adriano	Studi sul teatro contemporaneo
1944__Negri_Ada__Di_giorno_in_giorno.txt	1944	Negri, Ada	Di giorno in giorno
1921__Oriani_Alfredo__La_lotta_politica_in_Italia_origini_della_lotta_attuale_4761887_volume_III.txt	1921	Oriani, Alfredo	La lotta politica in Italia; origini della lotta attuale: 476-1887, volume III
1987__Algarotti_Francesco__Saggio_sopra_lImperio_deglIncas.txt	1987	Algarotti, Francesco	Saggio sopra l'Imperio degl'Incas
1914__Serao_Matilde__I_capelli_di_Sansone.txt	1914	Serao, Matilde	I capelli di Sansone
1868__Bufardeci_Emilio__Le_funeste_conseguenze_di_un_pregiudizio_popolare.txt	1868	Bufardeci, Emilio	Le funeste conseguenze di un pregiudizio popolare
1872__Fanfani_Pietro__Il_Plutarco_femminile.txt	1872	Fanfani, Pietro	Il Plutarco femminile
1980__Valletta_Nicola__Cicalata_sul_fascino_volgarmente_detto_jettatura.txt	1980	Valletta, Nicola	Cicalata sul fascino volgarmente detto jettatura
1955__Goldoni_Carlo__Amor_fa_luomo_cieco.txt	1955	Goldoni, Carlo	Amor fa l'uomo cieco
1613__Di_Grazia_Vincenzo__Considerazioni_di_M_Vincenzo_Di_Grazia_sopra_l_discorso_di_Galileo_Galilei_intorno_alle_cose_che_sta.txt	1613	Di Grazia, Vincenzo	Considerazioni di M. Vincenzo Di Grazia sopra 'l discorso di Galileo Galilei intorno alle cose che stanno su l'acqua, e che in quella si muouono. All'Illustrissimo ed Eccellentissimo Signor Don Carlo Medici
1912__Cervantes_Saavedra_Miguel_de__Novelle.txt	1912	Cervantes Saavedra, Miguel : de	Novelle
1997__Petrocchi_Giorgio__Vita_di_Dante.txt	1997	Petrocchi, Giorgio	Vita di Dante
1955__Goldoni_Carlo__Il_vero_amico.txt	1955	Goldoni, Carlo	Il vero amico
1981__Pirandello_Luigi__Luomo_dal_fiore_in_bocca.txt	1981	Pirandello, Luigi	L'uomo dal fiore in bocca
1933__Emanuelli_Pio__Il_cielo_e_le_sue_meraviglie.txt	1933	Emanuelli, Pio	Il cielo e le sue meraviglie
